# best total_cost=51.5644 on 50 segs
{'FF_GAIN': 0.5862, 'FF_LOOKAHEAD': 3, 'KP': 0.2071, 'KI': 0.0904, 'KD': -0.0214, 'I_CLIP': 3.7411}
114.060  {'FF_GAIN': 0.5842, 'FF_LOOKAHEAD': 2, 'KP': 0.2038, 'KI': 0.0483, 'KD': -0.0044, 'I_CLIP': 1.676}
118.915  {'FF_GAIN': 0.4755, 'FF_LOOKAHEAD': 4, 'KP': 0.2032, 'KI': 0.0346, 'KD': -0.0938, 'I_CLIP': 2.2137}
122.358  {'FF_GAIN': 0.5765, 'FF_LOOKAHEAD': 2, 'KP': 0.2159, 'KI': 0.0208, 'KD': -0.0155, 'I_CLIP': 3.4633}
123.893  {'FF_GAIN': 0.6047, 'FF_LOOKAHEAD': 2, 'KP': 0.153, 'KI': 0.0291, 'KD': -0.0369, 'I_CLIP': 2.5703}
147.285  {'FF_GAIN': 0.6191, 'FF_LOOKAHEAD': 1, 'KP': 0.0927, 'KI': 0.0274, 'KD': 0.0056, 'I_CLIP': 3.437}
159.436  {'FF_GAIN': 0.4839, 'FF_LOOKAHEAD': 3, 'KP': 0.104, 'KI': 0.0158, 'KD': -0.0245, 'I_CLIP': 3.7815}
164.260  {'FF_GAIN': 0.6163, 'FF_LOOKAHEAD': 2, 'KP': 0.0935, 'KI': 0.0281, 'KD': -0.0193, 'I_CLIP': 1.5853}
183.144  {'FF_GAIN': 0.4966, 'FF_LOOKAHEAD': 4, 'KP': 0.2371, 'KI': 0.019, 'KD': 0.0038, 'I_CLIP': 1.1784}
190.744  {'FF_GAIN': 0.5283, 'FF_LOOKAHEAD': 3, 'KP': 0.2016, 'KI': 0.0139, 'KD': -0.0305, 'I_CLIP': 1.5917}
194.463  {'FF_GAIN': 0.5116, 'FF_LOOKAHEAD': 3, 'KP': 0.1445, 'KI': 0.0169, 'KD': -0.0512, 'I_CLIP': 1.0009}
203.019  {'FF_GAIN': 0.4747, 'FF_LOOKAHEAD': 4, 'KP': 0.2293, 'KI': 0.0065, 'KD': -0.0013, 'I_CLIP': 2.2462}
204.365  {'FF_GAIN': 0.5544, 'FF_LOOKAHEAD': 2, 'KP': 0.1854, 'KI': 0.0024, 'KD': -0.009, 'I_CLIP': 2.5383}
222.300  {'FF_GAIN': 0.6056, 'FF_LOOKAHEAD': 1, 'KP': 0.0369, 'KI': 0.0105, 'KD': 0.0043, 'I_CLIP': 2.9022}
242.626  {'FF_GAIN': 0.5765, 'FF_LOOKAHEAD': 1, 'KP': 0.1093, 'KI': 0.0094, 'KD': -0.0129, 'I_CLIP': 1.2633}
244.255  {'FF_GAIN': 0.5583, 'FF_LOOKAHEAD': 2, 'KP': 0.0294, 'KI': 0.0025, 'KD': -0.0024, 'I_CLIP': 3.7383}
